,Autore,Stelle,Data,Titolo,Recensione,Lingua,Recensione_tradotta
0,Alex,1,2023-09-28,Cineasta. Soldi buttati.,"Sarò molto breve in questa recensione.A parte le chiamate che sono semi decenti con audio che gracchia al massimo, il resto è inutile e cinese. Sì è vero, vedete le notifiche, ma non potete leggere i messaggi più lunghi di 6 parole e non potete spuntarli come letti o cancellarli e questo vale per tutte le notifiche, pessimo per le email. Quindi tutte le notifiche saranno ancora presenti sullo smartphone. Non si può rispondere a nessun messaggio WhatsApp. Prezzo esorbitante per un smartwatch che di smart ha poco e di cinese ha tanto. Se volete buttare i vostri soldi accontentandovi di un giocattolo fatelo pure. Auguri.",it,"Sarò molto breve in questa recensione.A parte le chiamate che sono semi decenti con audio che gracchia al massimo, il resto è inutile e cinese. Sì è vero, vedete le notifiche, ma non potete leggere i messaggi più lunghi di 6 parole e non potete spuntarli come letti o cancellarli e questo vale per tutte le notifiche, pessimo per le email. Quindi tutte le notifiche saranno ancora presenti sullo smartphone. Non si può rispondere a nessun messaggio WhatsApp. Prezzo esorbitante per un smartwatch che di smart ha poco e di cinese ha tanto. Se volete buttare i vostri soldi accontentandovi di un giocattolo fatelo pure. Auguri."
1,vincenzo buglino,1,2023-10-26,Audio chiamate,Dopo circa 12 giorni l'audio in chiamata non funziona più. La persona dall'altra parte del telefono non sente la voce molto metallica e non riesce a capire nulla,it,Dopo circa 12 giorni l'audio in chiamata non funziona più. La persona dall'altra parte del telefono non sente la voce molto metallica e non riesce a capire nulla
2,Enza,1,2023-10-24,Si è rotto poco dopo più di un mese,Dopo esattamente 1 mese e 2 giorni si è rotto . Non si accende non carica più.. tutto dal nulla e per concludere non riesco a fare neanche il reso.... sconsiglio l'acquisto,it,Dopo esattamente 1 mese e 2 giorni si è rotto . Non si accende non carica più.. tutto dal nulla e per concludere non riesco a fare neanche il reso.... sconsiglio l'acquisto
3,Tino,1,2023-10-21,No comment,Fatemi capire per accendere un orologio bisogna registrare una carta di credito che nemmeno mi accetta tra l'altro? Reso immediato.,it,Fatemi capire per accendere un orologio bisogna registrare una carta di credito che nemmeno mi accetta tra l'altro? Reso immediato.
4,Cliente Amazon,1,2023-10-23,Smartwatch,"Il mio articolo nn funziona il Tel posso chiamare, e ricevere, ma nn si sente la voce",it,"Il mio articolo nn funziona il Tel posso chiamare, e ricevere, ma nn si sente la voce"
5,valentina,1,2023-09-19,Problema notifiche,Ciao ho un iphone 14 pro max ma le notifiche whatsapp non arrivano mentre sul cel android le ricevo come mai?,it,Ciao ho un iphone 14 pro max ma le notifiche whatsapp non arrivano mentre sul cel android le ricevo come mai?
6,chicca,1,2023-09-30,Pessimo,Dopo un mese non funziona più il microfono. Soldi buttati dato che era stato comprato principalmente per rispondere alle chiamate.,it,Dopo un mese non funziona più il microfono. Soldi buttati dato che era stato comprato principalmente per rispondere alle chiamate.
7,silvia sagradini,1,2023-10-01,Delusa,"Immaginavo non fosse un super Swatch, ma questa è proprio plastica pura! Reso immediatamente!",it,"Immaginavo non fosse un super Swatch, ma questa è proprio plastica pura! Reso immediatamente!"
8,George Sayour,1,2023-10-10,Il motivo di un reso,Per niente. Non sono riuscito a farlo funzionare. Penso che faro un reso.,it,Per niente. Non sono riuscito a farlo funzionare. Penso che faro un reso.
9,eleonora,1,2023-09-19,Articolo difettoso non funzionante,Articolo difettoso non funzionante il venditore non mi ha ancora restituito i soldi,it,Articolo difettoso non funzionante il venditore non mi ha ancora restituito i soldi
