age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y;ID
27;management;single;secondary;no;35;no;no;cellular;4;jul;255;1;-1;0;nonexistent;no;1
54;blue-collar;married;primary;no;466;no;no;cellular;4;jul;297;1;-1;0;nonexistent;no;2
43;blue-collar;married;secondary;no;105;no;yes;cellular;4;jul;668;2;-1;0;nonexistent;no;3
31;technician;single;secondary;no;19;no;no;telephone;4;jul;65;2;-1;0;nonexistent;no;4
27;technician;single;secondary;no;126;yes;yes;cellular;4;jul;436;4;-1;0;nonexistent;no;5
28;blue-collar;single;secondary;no;-127;yes;no;cellular;4;jul;1044;3;-1;0;nonexistent;yes;6
50;blue-collar;married;secondary;no;1329;yes;yes;telephone;4;jul;141;2;-1;0;nonexistent;no;7
29;blue-collar;single;primary;no;343;no;no;cellular;4;jul;39;2;-1;0;nonexistent;no;8
25;blue-collar;single;secondary;no;192;no;no;telephone;4;jul;112;2;-1;0;nonexistent;no;9
38;blue-collar;married;secondary;no;43;no;yes;cellular;4;jul;135;3;-1;0;nonexistent;no;10
36;technician;single;secondary;no;-272;no;yes;cellular;4;jul;53;6;-1;0;nonexistent;no;11
32;blue-collar;divorced;primary;no;4805;no;yes;cellular;4;jul;138;3;-1;0;nonexistent;no;12
44;technician;married;tertiary;no;1146;no;no;cellular;4;jul;178;2;-1;0;nonexistent;no;13
37;blue-collar;married;primary;no;380;yes;yes;cellular;4;jul;548;2;-1;0;nonexistent;no;14
48;services;married;secondary;no;1355;no;no;cellular;4;jul;134;2;-1;0;nonexistent;no;15
30;admin.;married;secondary;no;215;no;yes;cellular;4;jul;95;2;-1;0;nonexistent;no;16
54;technician;married;secondary;no;187;no;yes;cellular;4;jul;273;3;-1;0;nonexistent;no;17
36;unemployed;divorced;primary;no;0;no;no;telephone;4;jul;304;3;-1;0;nonexistent;no;18
33;technician;single;secondary;no;555;no;yes;cellular;4;jul;425;2;-1;0;nonexistent;no;19
34;services;married;secondary;no;295;yes;yes;cellular;4;jul;64;1;-1;0;nonexistent;no;20
28;services;single;secondary;no;-116;no;yes;cellular;4;jul;276;1;-1;0;nonexistent;no;21
33;management;married;secondary;no;4385;no;yes;cellular;4;jul;92;1;-1;0;nonexistent;no;22
30;services;married;secondary;no;137;no;no;cellular;4;jul;407;1;-1;0;nonexistent;no;23
34;admin.;single;secondary;no;296;no;no;cellular;7;jul;147;4;-1;0;nonexistent;no;24
35;admin.;divorced;secondary;no;534;no;no;cellular;7;jul;148;3;-1;0;nonexistent;no;25
44;entrepreneur;married;secondary;no;93;no;no;cellular;7;jul;125;2;-1;0;nonexistent;no;26
